Conference	2008	2009	2010	2011	2012
845	0	0	134	122	77
846	0	0	107	116	177
847	0	0	111	0	0
848	0	0	189	350	0
849	0	0	165	0	0
850	0	0	103	0	0
851	0	0	161	342	0
852	0	0	127	0	0
853	0	0	97	46	91
854	0	0	116	0	0
855	0	0	402	0	125
856	0	0	280	0	110
857	0	0	37	43	40
858	0	0	73	47	51
859	0	0	33	30	50
860	0	0	150	0	78
861	0	0	19	91	0
862	0	0	220	179	177
863	0	0	120	0	0
864	0	0	74	0	53
865	0	0	458	0	0
866	0	0	25	35	38
867	0	0	42	50	44
868	0	0	53	10	44
869	0	0	37	26	32
870	0	0	174	0	0
871	0	0	162	0	0
872	0	0	216	175	0
873	0	0	356	0	0
874	0	0	253	218	223
875	0	0	123	107	101
876	0	0	132	0	0
877	0	0	135	192	113
878	0	0	42	26	47
879	0	0	27	284	194
880	0	0	196	0	0
881	0	0	47	49	58
882	0	0	51	61	98
883	0	0	95	48	0
884	0	0	142	90	176
885	0	0	194	0	0
886	0	0	217	0	0
887	0	0	232	173	172
888	0	0	180	233	220
889	0	0	281	0	0
890	0	0	198	192	189
891	0	0	83	0	83
892	0	0	155	0	0
893	0	0	154	0	0
894	0	0	63	23	0
895	0	0	167	0	0
896	0	0	117	107	171
897	0	0	521	0	0
898	0	0	205	91	141
899	0	0	256	165	0
900	0	0	131	0	0
901	0	0	105	0	0
902	0	0	282	304	367
903	0	0	139	0	0
904	0	0	599	0	0
905	0	0	169	99	0
906	0	0	213	104	0
907	0	0	166	0	0
908	0	0	73	64	110
909	0	0	167	0	122
910	0	0	131	0	0
911	0	0	188	83	25
912	0	0	167	0	0
913	0	0	46	73	39
914	0	0	0	311	0
915	0	0	0	347	0
916	0	0	0	407	285
917	0	0	0	197	0
918	0	0	0	162	95
919	0	0	0	228	0
920	0	0	0	229	0
921	0	0	0	71	56
922	0	0	0	328	0
923	0	0	0	127	109
924	0	0	0	265	224
925	0	0	0	31	120
926	0	0	0	145	0
927	0	0	0	174	94
928	0	0	0	119	0
929	0	0	0	1011	0
930	0	0	0	159	0
931	0	0	0	359	0
932	0	0	0	114	0
933	0	0	0	92	241
934	0	0	0	38	155
935	0	0	0	333	0
936	0	0	0	165	0
937	0	0	0	100	0
938	0	0	0	212	0
939	0	0	0	130	0
940	0	0	0	146	0
941	0	0	0	198	0
942	0	0	0	217	787
943	0	0	0	244	0
944	0	0	0	72	30
945	0	0	0	125	114
946	0	0	0	47	0
947	0	0	0	31	78
948	0	0	0	303	0
949	0	0	0	303	339
950	0	0	0	95	0
951	0	0	0	116	0
952	0	0	0	112	0
953	0	0	0	107	0
954	0	0	0	189	0
955	0	0	0	207	0
956	0	0	0	311	372
957	0	0	0	287	360
958	0	0	0	102	0
959	0	0	0	87	80
960	0	0	0	214	0
961	0	0	0	124	149
962	0	0	0	94	49
963	0	0	0	117	0
964	0	0	0	372	0
965	0	0	0	71	131
966	0	0	0	244	0
967	0	0	0	205	0
968	0	0	0	200	322
969	0	0	0	49	166
970	0	0	0	214	0
971	0	0	0	121	0
972	0	0	0	57	111
973	0	0	0	79	47
974	0	0	0	176	183
975	0	0	0	378	388
976	0	0	0	294	179
977	0	0	0	303	0
978	0	0	0	564	0
979	0	0	0	207	0
980	0	0	0	229	0
981	0	0	0	239	0
982	0	0	0	149	0
983	0	0	0	425	0
984	0	0	0	32	179
985	0	0	0	80	41
986	0	0	0	82	46
987	0	0	0	96	56
988	0	0	0	51	46
989	0	0	0	72	49
990	0	0	0	47	71
991	0	0	0	169	165
992	0	0	0	22	51
993	0	0	0	60	113
994	0	0	0	229	0
995	0	0	0	78	85
996	0	0	0	222	0
997	0	0	0	61	0
998	0	0	0	132	249
999	0	0	0	353	0
1000	0	0	0	442	0
1001	0	0	0	150	128
1002	0	0	0	477	0
1003	0	0	0	268	0
1004	0	0	0	177	175
1005	0	0	0	106	0
1006	0	0	0	224	0
1007	0	0	0	374	0
1008	0	0	0	95	33
1009	0	0	0	215	0
1010	0	0	0	443	0
1011	0	0	0	71	184
1012	0	0	0	188	0
1013	0	0	0	33	35
1014	0	0	0	308	0
1015	0	0	0	186	0
1016	0	0	0	115	0
1017	0	0	0	0	785
1018	0	0	0	0	121
1019	0	0	0	0	181
1020	0	0	0	0	68
1021	0	0	0	0	259
1022	0	0	0	0	279
1023	0	0	0	0	130
1024	0	0	0	0	865
1025	0	0	0	0	485
1026	0	0	0	0	37
1027	0	0	0	0	48
1028	0	0	0	0	218
1029	0	0	0	0	587
1030	0	0	0	0	236
1031	0	0	0	0	323
1032	0	0	0	0	71
1033	0	0	0	0	97
1034	0	0	0	0	189
1035	0	0	0	0	278
1036	0	0	0	0	70
1037	0	0	0	0	260
1038	0	0	0	0	203
1039	0	0	0	0	105
1040	0	0	0	0	82
1041	0	0	0	0	246
1042	0	0	0	0	54
1043	0	0	0	0	215
1044	0	0	0	0	255
1045	0	0	0	0	80
1046	0	0	0	0	268
1047	0	0	0	0	262
1048	0	0	0	0	111
1049	0	0	0	0	121
1050	0	0	0	0	235
1051	0	0	0	0	530
1052	0	0	0	0	551
1053	0	0	0	0	707
1054	0	0	0	0	282
1055	0	0	0	0	171
1056	0	0	0	0	763
1057	0	0	0	0	245
1058	0	0	0	0	170
1059	0	0	0	0	106
1060	0	0	0	0	177
1061	0	0	0	0	200
1062	0	0	0	0	597
1063	0	0	0	0	134
1064	0	0	0	0	274
1065	0	0	0	0	43
1066	0	0	0	0	137
1067	0	0	0	0	182
1068	0	0	0	0	190
1069	0	0	0	0	494
1070	0	0	0	0	293
1071	0	0	0	0	114
1072	0	0	0	0	395
1073	0	0	0	0	521
1074	0	0	0	0	179
1075	0	0	0	0	253
1076	0	0	0	0	322
1077	0	0	0	0	202
1078	0	0	0	0	229
1079	0	0	0	0	55
1080	0	0	0	0	181
1081	0	0	0	0	141
1082	0	0	0	0	111
1083	0	0	0	0	101
1084	0	0	0	0	433
1085	0	0	0	0	897
1086	0	0	0	0	114
1087	0	0	0	0	235
1088	0	0	0	0	109
1089	0	0	0	0	572
1090	0	0	0	0	568
1091	0	0	0	0	171
1092	0	0	0	0	191
1093	0	0	0	0	186
1094	0	0	0	0	70
1095	0	0	0	0	405
1096	0	0	0	0	228
1097	0	0	0	0	169
